P    9 | ld 274 r11
P    5 | ld 270 r11
P    9 | ld 0 r12
P    5 | ld 0 r12
P   11 | zjmp 3 OK
P   10 | zjmp 3 OK
P    7 | zjmp 261 OK
P    1 | zjmp 299 OK
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   11 | live 0
P   10 | live 0
P    7 | live 0
P    1 | live 0
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
